Model,JD_Key,Category,K,P@K,R@K,NDCG@K
BERT,HR_JD5,HR,5,0.8,0.03636363636363636,0.8539316501572937
BERT,HR_JD5,HR,10,0.5,0.045454545454545456,0.6325414799409712
BERT,HR_JD6,HR,5,0.4,0.01818181818181818,0.36005461457723403
BERT,HR_JD6,HR,10,0.4,0.03636363636363636,0.3783033006761697
BERT,HR_JD7,HR,5,0.2,0.00909090909090909,0.3391602052736161
BERT,HR_JD7,HR,10,0.3,0.02727272727272727,0.37185395737611554
BERT,HR_JD8,HR,5,0.8,0.03636363636363636,0.8539316501572937
BERT,HR_JD8,HR,10,0.8,0.07272727272727272,0.8415908474314976
BERT,HR_JD9,HR,5,0.0,0.0,0.0
BERT,HR_JD9,HR,10,0.0,0.0,0.0
BERT,INFORMATION-TECHNOLOGY_JD1,INFORMATION-TECHNOLOGY,5,0.4,0.016666666666666666,0.4703652827859579
BERT,INFORMATION-TECHNOLOGY_JD1,INFORMATION-TECHNOLOGY,10,0.4,0.03333333333333333,0.44988737637276544
BERT,INFORMATION-TECHNOLOGY_JD2,INFORMATION-TECHNOLOGY,5,0.4,0.016666666666666666,0.3156484524795145
